,question,question_id,question_type,answer
0,What is (are) A guide to clinical trials for cancer ?,0000001-1,information,
1,what research (or clinical trials) is being done for A guide to clinical trials for cancer ?,0000001-2,research,
2,what research (or clinical trials) is being done for A guide to clinical trials for cancer ?,0000001-3,research,
3,what research (or clinical trials) is being done for A guide to clinical trials for cancer ?,0000001-6,research,
4,what research (or clinical trials) is being done for A guide to clinical trials for cancer ?,0000001-7,research,
0,Do you have information about A guide to herbal remedies,0000002-1,information,
0,What is (are) A1C test ?,0000003-1,information,
1,Who is at risk for A1C test? ?,0000003-8,susceptibility,
0,What is (are) Aarskog syndrome ?,0000004-1,information,
1,What causes Aarskog syndrome ?,0000004-2,causes,
2,What are the symptoms of Aarskog syndrome ?,0000004-3,symptoms,
3,How to diagnose Aarskog syndrome ?,0000004-4,exams and tests,
4,What are the treatments for Aarskog syndrome ?,0000004-5,treatment,
5,Where to find support for people with Aarskog syndrome ?,0000004-6,support groups,
6,What is the outlook for Aarskog syndrome ?,0000004-7,outlook,
7,What are the complications of Aarskog syndrome ?,0000004-8,complications,
8,Do I need to see a doctor for Aarskog syndrome ?,0000004-9,when to contact a medical professional,
9,How to prevent Aarskog syndrome ?,0000004-10,prevention,
0,What is (are) Aase syndrome ?,0000005-1,information,
1,What causes Aase syndrome ?,0000005-2,causes,
2,What are the symptoms of Aase syndrome ?,0000005-3,symptoms,
3,How to diagnose Aase syndrome ?,0000005-4,exams and tests,
4,What are the treatments for Aase syndrome ?,0000005-5,treatment,
5,What is the outlook for Aase syndrome ?,0000005-6,outlook,
6,What are the complications of Aase syndrome ?,0000005-7,complications,
7,How to prevent Aase syndrome ?,0000005-8,prevention,
0,Do you have information about Abdomen - swollen,0000006-1,information,
0,What is (are) Abdominal aortic aneurysm ?,0000007-1,information,
1,What causes Abdominal aortic aneurysm ?,0000007-2,causes,
2,What are the symptoms of Abdominal aortic aneurysm ?,0000007-3,symptoms,
3,How to diagnose Abdominal aortic aneurysm ?,0000007-4,exams and tests,
4,What are the treatments for Abdominal aortic aneurysm ?,0000007-5,treatment,
5,What is the outlook for Abdominal aortic aneurysm ?,0000007-6,outlook,
6,Do I need to see a doctor for Abdominal aortic aneurysm ?,0000007-7,when to contact a medical professional,
7,How to prevent Abdominal aortic aneurysm ?,0000007-8,prevention,
0,Do you have information about Abdominal aortic aneurysm repair - open,0000008-1,information,
0,Do you have information about Abdominal aortic aneurysm repair - open - discharge,0000009-1,information,
0,What is (are) Abdominal bloating ?,0000010-1,information,
1,What causes Abdominal bloating ?,0000010-2,causes,
2,What to do for Abdominal bloating ?,0000010-3,considerations,
3,Do I need to see a doctor for Abdominal bloating ?,0000010-4,when to contact a medical professional,
0,Do you have information about Abdominal CT scan,0000011-1,information,
0,Do you have information about Abdominal exploration,0000012-1,information,
0,Do you have information about Abdominal girth,0000013-1,information,
0,What is (are) Abdominal mass ?,0000014-1,information,
1,What to do for Abdominal mass ?,0000014-2,considerations,
2,What causes Abdominal mass ?,0000014-3,causes,
3,What to do for Abdominal mass ?,0000014-4,considerations,
4,Do I need to see a doctor for Abdominal mass ?,0000014-5,when to contact a medical professional,
5,What is the outlook for Abdominal mass ?,0000014-6,outlook,
0,Do you have information about Abdominal MRI scan,0000015-1,information,
0,What is (are) Abdominal pain ?,0000016-1,information,
1,What to do for Abdominal pain ?,0000016-2,considerations,
2,What causes Abdominal pain ?,0000016-3,causes,
3,What to do for Abdominal pain ?,0000016-4,considerations,
4,Do I need to see a doctor for Abdominal pain ?,0000016-5,when to contact a medical professional,
5,What is the outlook for Abdominal pain ?,0000016-6,outlook,
0,What is (are) Abdominal pain - children under age 12 ?,0000017-1,information,
1,What to do for Abdominal pain - children under age 12 ?,0000017-2,considerations,
2,What causes Abdominal pain - children under age 12 ?,0000017-3,causes,
3,What to do for Abdominal pain - children under age 12 ?,0000017-4,considerations,
4,Do I need to see a doctor for Abdominal pain - children under age 12 ?,0000017-5,when to contact a medical professional,
5,What is the outlook for Abdominal pain - children under age 12 ?,0000017-6,outlook,
0,Do you have information about Abdominal radiation - discharge,0000018-1,information,
0,What is (are) Abdominal rigidity ?,0000019-1,information,
1,What to do for Abdominal rigidity ?,0000019-2,considerations,
2,What causes Abdominal rigidity ?,0000019-3,causes,
3,Do I need to see a doctor for Abdominal rigidity ?,0000019-4,when to contact a medical professional,
4,What is the outlook for Abdominal rigidity ?,0000019-5,outlook,
0,Do you have information about Abdominal sounds,0000020-1,information,
0,Do you have information about Abdominal tap,0000021-1,information,
0,Do you have information about Abdominal thrusts,0000022-1,information,
0,Do you have information about Abdominal ultrasound,0000023-1,information,
0,What is (are) Abdominal wall fat pad biopsy ?,0000024-1,information,
1,Who is at risk for Abdominal wall fat pad biopsy? ?,0000024-8,susceptibility,
0,Do you have information about Abdominal wall surgery,0000025-1,information,
0,Do you have information about Abdominal x-ray,0000026-1,information,
0,What is (are) ABO incompatibility ?,0000027-1,information,
1,What causes ABO incompatibility ?,0000027-2,causes,
2,What are the symptoms of ABO incompatibility ?,0000027-3,symptoms,
3,How to diagnose ABO incompatibility ?,0000027-4,exams and tests,
4,What are the treatments for ABO incompatibility ?,0000027-5,treatment,
5,What is the outlook for ABO incompatibility ?,0000027-6,outlook,
6,What are the complications of ABO incompatibility ?,0000027-7,complications,
7,Do I need to see a doctor for ABO incompatibility ?,0000027-8,when to contact a medical professional,
8,How to prevent ABO incompatibility ?,0000027-9,prevention,
0,What is (are) Abortion - medical ?,0000028-1,information,
1,What is (are) Abortion - medical ?,0000028-2,information,
2,Who is at risk for Abortion - medical? ?,0000028-4,susceptibility,
3,What is the outlook for Abortion - medical ?,0000028-7,outlook,
0,What is (are) Abortion - surgical ?,0000029-1,information,
1,What is (are) Abortion - surgical ?,0000029-2,information,
2,Who is at risk for Abortion - surgical? ?,0000029-4,susceptibility,
3,What is the outlook for Abortion - surgical ?,0000029-6,outlook,
0,What is (are) Abortion - surgical - aftercare ?,0000030-1,information,
1,What is the outlook for Abortion - surgical - aftercare ?,0000030-2,outlook,
0,What is (are) Abscess ?,0000031-1,information,
1,What causes Abscess ?,0000031-2,causes,
2,How to diagnose Abscess ?,0000031-3,exams and tests,
3,What are the treatments for Abscess ?,0000031-4,treatment,
4,Do I need to see a doctor for Abscess ?,0000031-5,when to contact a medical professional,
5,How to prevent Abscess ?,0000031-6,prevention,
0,What is (are) Abscess - abdomen or pelvis ?,0000032-1,information,
1,What causes Abscess - abdomen or pelvis ?,0000032-2,causes,
2,What are the symptoms of Abscess - abdomen or pelvis ?,0000032-3,symptoms,
3,How to diagnose Abscess - abdomen or pelvis ?,0000032-4,exams and tests,
4,What are the treatments for Abscess - abdomen or pelvis ?,0000032-5,treatment,
5,What is the outlook for Abscess - abdomen or pelvis ?,0000032-6,outlook,
6,What are the complications of Abscess - abdomen or pelvis ?,0000032-7,complications,
7,Do I need to see a doctor for Abscess - abdomen or pelvis ?,0000032-8,when to contact a medical professional,
0,What is (are) Abscess scan - radioactive ?,0000033-1,information,
1,Who is at risk for Abscess scan - radioactive? ?,0000033-8,susceptibility,
0,What is (are) Absence seizure ?,0000034-1,information,
1,What causes Absence seizure ?,0000034-2,causes,
2,What are the symptoms of Absence seizure ?,0000034-3,symptoms,
3,How to diagnose Absence seizure ?,0000034-4,exams and tests,
4,What are the treatments for Absence seizure ?,0000034-5,treatment,
0,What is (are) Absent pulmonary valve ?,0000035-1,information,
1,What causes Absent pulmonary valve ?,0000035-2,causes,
2,What are the symptoms of Absent pulmonary valve ?,0000035-3,symptoms,
3,How to diagnose Absent pulmonary valve ?,0000035-4,exams and tests,
4,What are the treatments for Absent pulmonary valve ?,0000035-5,treatment,
5,What is the outlook for Absent pulmonary valve ?,0000035-6,outlook,
6,What are the complications of Absent pulmonary valve ?,0000035-7,complications,
7,Do I need to see a doctor for Absent pulmonary valve ?,0000035-8,when to contact a medical professional,
8,How to prevent Absent pulmonary valve ?,0000035-9,prevention,
0,What is (are) Acanthosis nigricans ?,0000036-1,information,
1,What causes Acanthosis nigricans ?,0000036-2,causes,
2,What are the symptoms of Acanthosis nigricans ?,0000036-3,symptoms,
3,How to diagnose Acanthosis nigricans ?,0000036-4,exams and tests,
4,What are the treatments for Acanthosis nigricans ?,0000036-5,treatment,
5,What is the outlook for Acanthosis nigricans ?,0000036-6,outlook,
6,Do I need to see a doctor for Acanthosis nigricans ?,0000036-7,when to contact a medical professional,
0,Do you have information about ACE blood test,0000037-1,information,
0,Do you have information about ACE inhibitors,0000038-1,information,
0,What is (are) Acetaminophen and codeine overdose ?,0000039-1,information,
1,What are the symptoms of Acetaminophen and codeine overdose ?,0000039-4,symptoms,
2,What to do for Acetaminophen and codeine overdose ?,0000039-5,considerations,
3,What is the outlook for Acetaminophen and codeine overdose ?,0000039-8,outlook,
4,What is the outlook for Acetaminophen and codeine overdose ?,0000039-9,outlook,
0,Do you have information about Acetaminophen dosing for children,0000040-1,information,
0,What is (are) Acetaminophen overdose ?,0000041-1,information,
1,What are the symptoms of Acetaminophen overdose ?,0000041-3,symptoms,
2,What to do for Acetaminophen overdose ?,0000041-4,considerations,
3,What is the outlook for Acetaminophen overdose ?,0000041-7,outlook,
4,What is the outlook for Acetaminophen overdose ?,0000041-8,outlook,
0,What is (are) Acetone poisoning ?,0000042-1,information,
1,What are the symptoms of Acetone poisoning ?,0000042-4,symptoms,
2,What to do for Acetone poisoning ?,0000042-5,considerations,
3,What is the outlook for Acetone poisoning ?,0000042-8,outlook,
4,What is the outlook for Acetone poisoning ?,0000042-9,outlook,
0,Do you have information about Acetylcholine receptor antibody,0000043-1,information,
0,What is (are) Achalasia ?,0000044-1,information,
1,What causes Achalasia ?,0000044-2,causes,
2,What are the symptoms of Achalasia ?,0000044-3,symptoms,
3,How to diagnose Achalasia ?,0000044-4,exams and tests,
4,What are the treatments for Achalasia ?,0000044-5,treatment,
5,What is the outlook for Achalasia ?,0000044-6,outlook,
6,What are the complications of Achalasia ?,0000044-7,complications,
7,Do I need to see a doctor for Achalasia ?,0000044-8,when to contact a medical professional,
8,How to prevent Achalasia ?,0000044-9,prevention,
0,What is (are) Aches and pains during pregnancy ?,0000045-1,information,
0,What is (are) Achilles tendinitis ?,0000046-1,information,
1,What causes Achilles tendinitis ?,0000046-2,causes,
2,What are the symptoms of Achilles tendinitis ?,0000046-3,symptoms,
3,How to diagnose Achilles tendinitis ?,0000046-4,exams and tests,
4,What are the treatments for Achilles tendinitis ?,0000046-5,treatment,
5,What is the outlook for Achilles tendinitis ?,0000046-6,outlook,
6,What are the complications of Achilles tendinitis ?,0000046-7,complications,
7,Do I need to see a doctor for Achilles tendinitis ?,0000046-8,when to contact a medical professional,
8,How to prevent Achilles tendinitis ?,0000046-9,prevention,
0,Do you have information about Achilles tendon repair,0000047-1,information,
0,What is (are) Achilles tendon rupture - aftercare ?,0000048-1,information,
1,What is (are) Achilles tendon rupture - aftercare ?,0000048-2,information,
2,What is the outlook for Achilles tendon rupture - aftercare ?,0000048-3,outlook,
3,Do I need to see a doctor for Achilles tendon rupture - aftercare ?,0000048-6,when to contact a medical professional,
0,What is (are) Achondrogenesis ?,0000049-1,information,
1,What causes Achondrogenesis ?,0000049-2,causes,
2,What are the symptoms of Achondrogenesis ?,0000049-3,symptoms,
3,How to diagnose Achondrogenesis ?,0000049-4,exams and tests,
4,What are the treatments for Achondrogenesis ?,0000049-5,treatment,
5,What is the outlook for Achondrogenesis ?,0000049-6,outlook,
6,What are the complications of Achondrogenesis ?,0000049-7,complications,
7,Do I need to see a doctor for Achondrogenesis ?,0000049-8,when to contact a medical professional,
0,What is (are) Achondroplasia ?,0000050-1,information,
1,What causes Achondroplasia ?,0000050-2,causes,
2,What are the symptoms of Achondroplasia ?,0000050-3,symptoms,
3,How to diagnose Achondroplasia ?,0000050-4,exams and tests,
4,What are the treatments for Achondroplasia ?,0000050-5,treatment,
5,What is the outlook for Achondroplasia ?,0000050-6,outlook,
