,question,question_id,question_type,answer
0,What important warning or information should I know about Abacavir ?,0000001-1,important warning,
1,Who should get Abacavir and why is it prescribed ?,0000001-2,indication,
2,How should Abacavir be used and what is the dosage ?,0000001-3,usage,
3,Are there safety concerns or special precautions about Abacavir ?,0000001-5,precautions,
4,What special dietary instructions should I follow with Abacavir ?,0000001-6,dietary,
5,What should I do if I forget a dose of Abacavir ?,0000001-7,forget a dose,
6,What are the side effects or risks of Abacavir ?,0000001-8,side effects,
7,What should I know about storage and disposal of Abacavir ?,0000001-9,storage and disposal,
8,What to do in case of emergency or overdose of Abacavir ?,0000001-10,emergency or overdose,
9,What other information should I know about Abacavir ?,0000001-11,other information,
10,What are the brand names of Abacavir ?,0000001-12,brand names,
11,What are the brand names of combination products of Abacavir ?,0000001-13,brand names of combination products,
0,Who should get Abatacept Injection and why is it prescribed ?,0000002-1,indication,
1,How should Abatacept Injection be used and what is the dosage ?,0000002-2,usage,
2,Are there safety concerns or special precautions about Abatacept Injection ?,0000002-4,precautions,
3,What special dietary instructions should I follow with Abatacept Injection ?,0000002-5,dietary,
4,What should I do if I forget a dose of Abatacept Injection ?,0000002-6,forget a dose,
5,What are the side effects or risks of Abatacept Injection ?,0000002-7,side effects,
6,What should I know about storage and disposal of Abatacept Injection ?,0000002-8,storage and disposal,
7,What to do in case of emergency or overdose of Abatacept Injection ?,0000002-9,emergency or overdose,
8,What other information should I know about Abatacept Injection ?,0000002-10,other information,
9,What are the brand names of Abatacept Injection ?,0000002-11,brand names,
0,Who should get Abiraterone and why is it prescribed ?,0000003-1,indication,
1,How should Abiraterone be used and what is the dosage ?,0000003-2,usage,
2,Are there safety concerns or special precautions about Abiraterone ?,0000003-4,precautions,
3,What special dietary instructions should I follow with Abiraterone ?,0000003-5,dietary,
4,What should I do if I forget a dose of Abiraterone ?,0000003-6,forget a dose,
5,What are the side effects or risks of Abiraterone ?,0000003-7,side effects,
6,What should I know about storage and disposal of Abiraterone ?,0000003-8,storage and disposal,
7,What to do in case of emergency or overdose of Abiraterone ?,0000003-9,emergency or overdose,
8,What other information should I know about Abiraterone ?,0000003-10,other information,
9,What are the brand names of Abiraterone ?,0000003-11,brand names,
0,What important warning or information should I know about AbobotulinumtoxinA Injection ?,0000004-1,important warning,
1,Who should get AbobotulinumtoxinA Injection and why is it prescribed ?,0000004-2,indication,
