,question,question_id,question_type,answer
0,What is Activated Charcoal ?,0000001-1,information,
1,How effective is Activated Charcoal ?,0000001-2,how effective is it,
2,What is the action of Activated Charcoal and how does it work ?,0000001-3,how does it work,
3,Are there safety concerns or special precautions about Activated Charcoal ?,0000001-4,precautions,
4,Are there interactions between Activated Charcoal and other medications ?,0000001-5,interactions with medications,
5,Are there interactions between Activated Charcoal and herbs and supplements ?,0000001-6,interactions with herbs and supplements,
6,Are there interactions between Activated Charcoal and foods ?,0000001-7,interactions with foods,
7,What is the dosage of Activated Charcoal ?,0000001-8,dose,
0,What is Alfalfa ?,0000002-1,information,
1,How effective is Alfalfa ?,0000002-2,how effective is it,
2,What is the action of Alfalfa and how does it work ?,0000002-3,how does it work,
3,Are there safety concerns or special precautions about Alfalfa ?,0000002-4,precautions,
4,Are there interactions between Alfalfa and other medications ?,0000002-5,interactions with medications,
5,Are there interactions between Alfalfa and herbs and supplements ?,0000002-6,interactions with herbs and supplements,
6,Are there interactions between Alfalfa and foods ?,0000002-7,interactions with foods,
7,What is the dosage of Alfalfa ?,0000002-8,dose,
0,What is American ginseng ?,0000003-1,information,
1,How effective is American ginseng ?,0000003-2,how effective is it,
2,What is the action of American ginseng and how does it work ?,0000003-3,how does it work,
3,Are there safety concerns or special precautions about American ginseng ?,0000003-4,precautions,
4,Are there interactions between American ginseng and other medications ?,0000003-5,interactions with medications,
5,Are there interactions between American ginseng and herbs and supplements ?,0000003-6,interactions with herbs and supplements,
6,Are there interactions between American ginseng and foods ?,0000003-7,interactions with foods,
7,What is the dosage of American ginseng ?,0000003-8,dose,
0,What is Arnica ?,0000004-1,information,
1,How effective is Arnica ?,0000004-2,how effective is it,
2,What is the action of Arnica and how does it work ?,0000004-3,how does it work,
3,Are there safety concerns or special precautions about Arnica ?,0000004-4,precautions,
4,Are there interactions between Arnica and other medications ?,0000004-5,interactions with medications,
5,Are there interactions between Arnica and herbs and supplements ?,0000004-6,interactions with herbs and supplements,
6,Are there interactions between Arnica and foods ?,0000004-7,interactions with foods,
7,What is the dosage of Arnica ?,0000004-8,dose,
0,What is Ashwagandha ?,0000005-1,information,
1,How effective is Ashwagandha ?,0000005-2,how effective is it,
2,What is the action of Ashwagandha and how does it work ?,0000005-3,how does it work,
3,Are there safety concerns or special precautions about Ashwagandha ?,0000005-4,precautions,
4,Are there interactions between Ashwagandha and other medications ?,0000005-5,interactions with medications,
5,Are there interactions between Ashwagandha and herbs and supplements ?,0000005-6,interactions with herbs and supplements,
6,Are there interactions between Ashwagandha and foods ?,0000005-7,interactions with foods,
7,What is the dosage of Ashwagandha ?,0000005-8,dose,
0,What is Bacillus coagulans ?,0000006-1,information,
1,How effective is Bacillus coagulans ?,0000006-2,how effective is it,
2,What is the action of Bacillus coagulans and how does it work ?,0000006-3,how does it work,
3,Are there safety concerns or special precautions about Bacillus coagulans ?,0000006-4,precautions,
4,Are there interactions between Bacillus coagulans and other medications ?,0000006-5,interactions with medications,
5,Are there interactions between Bacillus coagulans and herbs and supplements ?,0000006-6,interactions with herbs and supplements,
6,Are there interactions between Bacillus coagulans and foods ?,0000006-7,interactions with foods,
7,What is the dosage of Bacillus coagulans ?,0000006-8,dose,
0,What is Bee Pollen ?,0000007-1,information,
1,How effective is Bee Pollen ?,0000007-2,how effective is it,
